,幣別,現金匯率-本行買入,現金匯率-本行賣出,即期匯率-本行買入,即期匯率-本行賣出,更新時間
0,USD,30.42,31.11,30.79,30.89,2019-03-05 16:03:26.952294
1,HKD,3.762,3.978,3.898,3.958,2019-03-05 16:03:26.952294
2,GBP,39.44,41.56,40.44,40.86,2019-03-05 16:03:26.952294
3,AUD,21.46,22.24,21.73,21.96,2019-03-05 16:03:26.952294
4,CAD,22.63,23.54,23.02,23.24,2019-03-05 16:03:26.952294
5,SGD,22.19,23.1,22.68,22.86,2019-03-05 16:03:26.952294
6,CHF,30.02,31.22,30.68,30.97,2019-03-05 16:03:26.952294
7,JPY,0.2664,0.2792,0.2737,0.2777,2019-03-05 16:03:26.952294
8,ZAR,-,-,2.13,2.21,2019-03-05 16:03:26.952294
9,SEK,2.91,3.43,3.25,3.35,2019-03-05 16:03:26.952294
10,NZD,20.48,21.33,20.86,21.06,2019-03-05 16:03:26.952294
11,THB,0.8449,1.0329,0.9535,0.9935,2019-03-05 16:03:26.952294
12,PHP,0.5169,0.6499,-,-,2019-03-05 16:03:26.952294
13,IDR,0.00183,0.00253,-,-,2019-03-05 16:03:26.952294
14,EUR,34.12,35.46,34.74,35.14,2019-03-05 16:03:26.952294
15,KRW,0.02563,0.02953,-,-,2019-03-05 16:03:26.952294
16,VND,0.00096,0.00146,-,-,2019-03-05 16:03:26.952294
17,MYR,6.473,8.103,-,-,2019-03-05 16:03:26.952294
18,CNY,4.501,4.663,4.573,4.623,2019-03-05 16:03:26.952294
