,幣別,現金匯率-本行買入,現金匯率-本行賣出,即期匯率-本行買入,即期匯率-本行賣出,更新時間
0,USD,30.48,31.17,30.85,30.95,2019-03-11 15:54:26.053596
1,HKD,3.77,3.986,3.906,3.966,2019-03-11 15:54:26.053596
2,GBP,39,41.12,40,40.42,2019-03-11 15:54:26.053596
3,AUD,21.4,22.18,21.67,21.9,2019-03-11 15:54:26.053596
4,CAD,22.53,23.44,22.92,23.14,2019-03-11 15:54:26.053596
5,SGD,22.17,23.08,22.66,22.84,2019-03-11 15:54:26.053596
6,CHF,29.84,31.04,30.5,30.79,2019-03-11 15:54:26.053596
7,JPY,0.2684,0.2812,0.2757,0.2797,2019-03-11 15:54:26.053596
8,ZAR,-,-,2.1,2.18,2019-03-11 15:54:26.053596
9,SEK,2.9,3.42,3.24,3.34,2019-03-11 15:54:26.053596
10,NZD,20.58,21.43,20.96,21.16,2019-03-11 15:54:26.053596
11,THB,0.8517,1.0397,0.9603,1.0003,2019-03-11 15:54:26.053596
12,PHP,0.5184,0.6514,-,-,2019-03-11 15:54:26.053596
13,IDR,0.00183,0.00253,-,-,2019-03-11 15:54:26.053596
14,EUR,33.94,35.28,34.56,34.96,2019-03-11 15:54:26.053596
15,KRW,0.02552,0.02942,-,-,2019-03-11 15:54:26.053596
16,VND,0.00096,0.00146,-,-,2019-03-11 15:54:26.053596
17,MYR,6.465,8.095,-,-,2019-03-11 15:54:26.053596
18,CNY,4.492,4.654,4.564,4.614,2019-03-11 15:54:26.053596
