,幣別,現金匯率-本行買入,現金匯率-本行賣出,即期匯率-本行買入,即期匯率-本行賣出,更新時間
0,USD,28.52,29.19,28.87,28.97,2020-10-14 16:22:08.250556
1,HKD,3.575,3.779,3.701,3.761,2020-10-14 16:22:08.250556
2,GBP,36.08,38.2,37.09,37.49,2020-10-14 16:22:08.250556
3,AUD,20.35,21.13,20.64,20.84,2020-10-14 16:22:08.250556
4,CAD,21.53,22.44,21.93,22.13,2020-10-14 16:22:08.250556
5,SGD,20.71,21.62,21.2,21.38,2020-10-14 16:22:08.250556
6,CHF,30.82,32.02,31.5,31.75,2020-10-14 16:22:08.250556
7,JPY,0.2651,0.2779,0.2724,0.2764,2020-10-14 16:22:08.250556
8,ZAR,-,-,1.709,1.789,2020-10-14 16:22:08.250556
9,SEK,2.89,3.41,3.23,3.33,2020-10-14 16:22:08.250556
10,NZD,18.79,19.64,19.17,19.37,2020-10-14 16:22:08.250556
11,THB,0.8002,0.9902,0.9126,0.9526,2020-10-14 16:22:08.250556
12,PHP,0.521,0.654,-,-,2020-10-14 16:22:08.250556
13,IDR,0.00163,0.00233,-,-,2020-10-14 16:22:08.250556
14,EUR,33.14,34.48,33.76,34.16,2020-10-14 16:22:08.250556
15,KRW,0.02352,0.02742,-,-,2020-10-14 16:22:08.250556
16,VND,0.00088,0.00138,-,-,2020-10-14 16:22:08.250556
17,MYR,5.854,7.479,-,-,2020-10-14 16:22:08.250556
18,CNY,4.198,4.36,4.27,4.32,2020-10-14 16:22:08.250556
